LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
1452,NORTH POINT,,1006,CITY
1453,NORTH EAST,,1006,CITY
1454,NEW WINDSOR,,1006,CITY
1455,OWINGS MILLS,,1006,CITY
1456,PAROLE,,1006,CITY
1457,PARKTON,,1006,CITY
1458,PARKVILLE,,1006,CITY
1459,PRINCE FREDERICK,,1006,CITY
1460,PERRY HALL,,1006,CITY
1461,RANDALLSTOWN,,1006,CITY
1462,RISING SUN,,1006,CITY
1463,REISTERSTOWN,,1006,CITY
1464,SOLOMONS,,1006,CITY
1465,SILVER RUN,,1006,CITY
1466,SAINT MARGARETS,,1006,CITY
1467,SEVERNA PARK,,1006,CITY
1468,SYKESVILLE,,1006,CITY
1469,TANEYTOWN,,1006,CITY
1470,TOWSON,,1006,CITY
1471,UNION BRIDGE,,1006,CITY
1472,WOODLAWN,,1006,CITY
1473,WHITE MARSH,,1006,CITY
1474,ACCIDENT,,1006,CITY
1475,CUMBERLAND,,1006,CITY
1476,BUCKEYSTOWN,,1006,CITY
1477,BRADDOCK HEIGHTS,,1006,CITY
1478,BRUNSWICK,,1006,CITY
1479,BITTINGER,,1006,CITY
1480,CLEAR SPRING,,1006,CITY
1481,HAGERSTOWN,,1006,CITY
1482,CRESAPTOWN,,1006,CITY
1483,EMMITSBURG,,1006,CITY
1484,WALKERSVILLE,,1006,CITY
1485,FRIENDSVILLE,,1006,CITY
1486,FLINTSTONE,,1006,CITY
1487,LEMOYNE,,1006,CITY
1488,FROSTBURG,,1006,CITY
1489,GRANTSVILLE,,1006,CITY
1490,CASCADE,,1006,CITY
1491,BOONESBORO,,1006,CITY
1492,TROUTVILLE,,1006,CITY
1493,HANCOCK,,1006,CITY
1494,KEEDYSVILLE,,1006,CITY
1495,KITZMILLER,,1006,CITY
1496,LONACONING,,1006,CITY
1497,MOUNT AIRY,,1006,CITY
1498,MOUNT SAVAGE,,1006,CITY
1499,MYERSVILLE,,1006,CITY
1500,NEW MARKET,,1006,CITY
1501,OAKLAND,,1006,CITY
1502,OLDTOWN,,1006,CITY
1503,SMITHSBURG,,1006,CITY
1504,THURMONT,,1006,CITY
1505,THAYERVILLE,,1006,CITY
1506,WILLIAMSPORT,,1006,CITY
1507,BERLIN,,1006,CITY
1508,BISHOP,,1006,CITY
1509,CHURCH HILL,,1006,CITY
1510,CHESTERTOWN,,1006,CITY
1511,CECILTON,,1006,CITY
1512,CHESAPEAKE CITY,,1006,CITY
1513,CENTREVILLE,,1006,CITY
1514,CRISFIELD,,1006,CITY
1515,DEAL ISLAND,,1006,CITY
1516,DELMAR,,1006,CITY
1517,DENTON,,1006,CITY
1518,FEDERALSBURG,,1006,CITY
1519,GALENA,,1006,CITY
1520,GREENSBORO,,1006,CITY
1521,HILLSBORO,,1006,CITY
1522,HONGA,,1006,CITY
1523,HURLOCK,,1006,CITY
1524,MARION,,1006,CITY
1525,MILLINGTON,,1006,CITY
1526,NANTICOKE,,1006,CITY
1527,OCEAN CITY,,1006,CITY
1528,OCEAN PINES,,1006,CITY
1529,OXFORD,,1006,CITY
1530,POCOMOKE CITY,,1006,CITY
1531,PRINCESS ANNE,,1006,CITY
1532,CLARKSVILLE,,1006,CITY
